latitude,longitude,timestamp
-33.39728,-70.7936,2023-02-12T12:40:22Z
-33.41122,-70.79325,2023-02-12T12:41:22Z
-33.42232,-70.78889,2023-02-12T12:42:22Z
-33.42775,-70.78348,2023-02-12T12:43:22Z
-33.40761,-70.78243,2023-02-12T12:44:22Z
-33.38485,-70.76004,2023-02-12T12:45:22Z
-33.37179,-70.73968,2023-02-12T12:46:22Z
-33.36663,-70.70167,2023-02-12T12:47:22Z
-33.36597,-70.69948,2023-02-12T12:48:22Z
-33.36236,-70.70162,2023-02-12T12:49:22Z
-33.29837,-70.72923,2023-02-12T12:50:22Z
-33.23317,-70.75959,2023-02-12T12:51:22Z
-33.17249,-70.7919,2023-02-12T12:52:22Z
-33.07585,-70.86256,2023-02-12T12:53:22Z
-33.05414,-70.87482,2023-02-12T12:54:22Z
-33.00403,-70.8845,2023-02-12T12:55:22Z
-32.99236,-70.86643,2023-02-12T12:56:22Z
-32.972,-70.83929,2023-02-12T12:57:22Z
-32.93203,-70.8132,2023-02-12T12:58:22Z
-32.90811,-70.81185,2023-02-12T12:59:22Z
-32.88249,-70.83578,2023-02-12T13:00:22Z
-32.86357,-70.85684,2023-02-12T13:01:22Z
-32.85437,-70.85944,2023-02-12T13:02:22Z
-32.85111,-70.87586,2023-02-12T13:03:22Z
-32.84708,-70.96634,2023-02-12T13:04:22Z
-32.84235,-71.02007,2023-02-12T13:05:22Z
-32.83684,-71.05062,2023-02-12T13:06:22Z
-32.82382,-71.13579,2023-02-12T13:07:22Z
-32.77245,-71.18569,2023-02-12T13:08:22Z
-32.73621,-71.19909,2023-02-12T13:09:22Z
-32.67334,-71.21128,2023-02-12T13:10:22Z
-32.63773,-71.23275,2023-02-12T13:11:22Z
-32.61879,-71.22872,2023-02-12T13:12:22Z
-32.59487,-71.24239,2023-02-12T13:13:22Z
-32.58084,-71.25079,2023-02-12T13:14:22Z
-32.5626,-71.26106,2023-02-12T13:15:22Z
-32.49609,-71.25961,2023-02-12T13:16:22Z
-32.45848,-71.29004,2023-02-12T13:17:22Z
-32.44626,-71.31971,2023-02-12T13:18:22Z
-32.41122,-71.34586,2023-02-12T13:19:22Z
-32.39565,-71.3728,2023-02-12T13:20:22Z
-32.38161,-71.39072,2023-02-12T13:21:22Z
-32.36301,-71.4052,2023-02-12T13:22:22Z
-32.34859,-71.43872,2023-02-12T13:23:22Z
-32.29371,-71.46114,2023-02-12T13:24:22Z
-32.23724,-71.49676,2023-02-12T13:25:22Z
-32.21361,-71.51332,2023-02-12T13:26:22Z
-32.18588,-71.52046,2023-02-12T13:27:22Z
-32.1649,-71.5158,2023-02-12T13:28:22Z
-32.147,-71.50871,2023-02-12T13:29:22Z
-32.12472,-71.50057,2023-02-12T13:30:22Z
-32.08107,-71.51011,2023-02-12T13:31:22Z
-32.01863,-71.50927,2023-02-12T13:32:22Z
-31.98148,-71.50381,2023-02-12T13:33:22Z
-31.9672,-71.48809,2023-02-12T13:34:22Z
-31.94432,-71.48508,2023-02-12T13:35:22Z
-31.9118,-71.48937,2023-02-12T13:36:22Z
-31.89271,-71.48823,2023-02-12T13:37:22Z
-31.86759,-71.49609,2023-02-12T13:38:22Z
-31.85832,-71.51347,2023-02-12T13:39:22Z
-31.84429,-71.51609,2023-02-12T13:40:22Z
-31.78313,-71.49617,2023-02-12T13:41:22Z
-31.7453,-71.51268,2023-02-12T13:42:22Z
-31.69253,-71.52401,2023-02-12T13:43:22Z
-31.64375,-71.52373,2023-02-12T13:44:22Z
-31.58702,-71.53222,2023-02-12T13:45:22Z
-31.53167,-71.54887,2023-02-12T13:46:22Z
-31.45019,-71.57034,2023-02-12T13:47:22Z
-31.44109,-71.56295,2023-02-12T13:48:22Z
-31.39912,-71.58055,2023-02-12T13:49:22Z
-31.38046,-71.58982,2023-02-12T13:50:22Z
-31.34757,-71.58968,2023-02-12T13:51:22Z
-31.30079,-71.59253,2023-02-12T13:52:22Z
-31.24745,-71.58697,2023-02-12T13:53:22Z
-31.23259,-71.58337,2023-02-12T13:54:22Z
-31.23237,-71.59393,2023-02-12T13:55:22Z
-31.20625,-71.60173,2023-02-12T13:56:22Z
-31.20197,-71.6086,2023-02-12T13:57:22Z
-31.18737,-71.60656,2023-02-12T13:58:22Z
-31.15723,-71.60199,2023-02-12T13:59:22Z
-31.13525,-71.60311,2023-02-12T14:00:22Z
-31.12378,-71.59596,2023-02-12T14:01:22Z
-31.10468,-71.59888,2023-02-12T14:02:22Z
-31.05797,-71.61162,2023-02-12T14:03:22Z
-31.01688,-71.61001,2023-02-12T14:04:22Z
-31.00353,-71.61794,2023-02-12T14:05:22Z
-31.00189,-71.63049,2023-02-12T14:06:22Z
-30.9915,-71.63165,2023-02-12T14:07:22Z
-30.98636,-71.63877,2023-02-12T14:08:22Z
-30.94082,-71.64098,2023-02-12T14:09:22Z
-30.88469,-71.60616,2023-02-12T14:10:22Z
-30.87362,-71.60291,2023-02-12T14:11:22Z
-30.81887,-71.58876,2023-02-12T14:12:22Z
-30.77563,-71.55233,2023-02-12T14:13:22Z
-30.73105,-71.51409,2023-02-12T14:14:22Z
-30.71004,-71.49063,2023-02-12T14:15:22Z
-30.68442,-71.52764,2023-02-12T14:16:22Z
-30.66447,-71.53035,2023-02-12T14:17:22Z
-30.63636,-71.51101,2023-02-12T14:18:22Z
-30.54329,-71.49411,2023-02-12T14:19:22Z
-30.50814,-71.48657,2023-02-12T14:20:22Z
-30.40895,-71.44603,2023-02-12T14:21:22Z
-30.36277,-71.43545,2023-02-12T14:22:22Z
-30.22957,-71.39077,2023-02-12T14:23:22Z
-30.08442,-71.36133,2023-02-12T14:24:22Z
-30.06396,-71.36156,2023-02-12T14:25:22Z
-30.03464,-71.38293,2023-02-12T14:26:22Z
-30.00381,-71.37914,2023-02-12T14:27:22Z
-29.98641,-71.35618,2023-02-12T14:28:22Z
-29.96648,-71.33364,2023-02-12T14:29:22Z
-29.96541,-71.32201,2023-02-12T14:30:22Z
-29.95018,-71.28745,2023-02-12T14:31:22Z
-29.90913,-71.25851,2023-02-12T14:32:22Z
-29.89107,-71.25531,2023-02-12T14:33:22Z
-29.88081,-71.25635,2023-02-12T14:34:22Z
-29.82944,-71.26121,2023-02-12T14:35:22Z
-29.79864,-71.28862,2023-02-12T14:36:22Z
-29.79227,-71.30006,2023-02-12T14:37:22Z
-29.75173,-71.32758,2023-02-12T14:38:22Z
-29.67876,-71.30719,2023-02-12T14:39:22Z
-29.65647,-71.30154,2023-02-12T14:40:22Z
-29.63858,-71.29501,2023-02-12T14:41:22Z
-29.62923,-71.27924,2023-02-12T14:42:22Z
-29.61969,-71.2853,2023-02-12T14:43:22Z
-29.61216,-71.27089,2023-02-12T14:44:22Z
-29.59935,-71.25467,2023-02-12T14:45:22Z
-29.5752,-71.25007,2023-02-12T14:46:22Z
-29.57145,-71.25179,2023-02-12T14:47:22Z
-29.58335,-71.24136,2023-02-12T14:48:22Z
-29.57802,-71.24137,2023-02-12T14:49:22Z
-29.56701,-71.24469,2023-02-12T14:50:22Z
-29.56137,-71.25196,2023-02-12T14:51:22Z
-29.56073,-71.25348,2023-02-12T14:52:22Z
-29.54298,-71.24299,2023-02-12T14:53:22Z
-29.46721,-71.20794,2023-02-12T14:54:22Z
-29.42399,-71.1841,2023-02-12T14:55:22Z
-29.39206,-71.16478,2023-02-12T14:56:22Z
-29.36355,-71.13217,2023-02-12T14:57:22Z
-29.37027,-71.12194,2023-02-12T14:58:22Z
-29.37893,-71.10706,2023-02-12T14:59:22Z
-29.37692,-71.08731,2023-02-12T15:00:22Z
-29.36253,-71.06138,2023-02-12T15:01:22Z
-29.34857,-71.04035,2023-02-12T15:02:22Z
-29.30261,-71.03169,2023-02-12T15:03:22Z
-29.26455,-71.03366,2023-02-12T15:04:22Z
-29.23266,-71.01389,2023-02-12T15:05:22Z
-29.22225,-71.01163,2023-02-12T15:06:22Z
-29.19719,-71.01893,2023-02-12T15:07:22Z
-29.18065,-71.01379,2023-02-12T15:08:22Z
-29.16176,-71.00299,2023-02-12T15:09:22Z
-29.14683,-70.99702,2023-02-12T15:10:22Z
-29.14406,-70.99851,2023-02-12T15:11:22Z
-29.14474,-70.99317,2023-02-12T15:12:22Z
-29.14526,-70.98988,2023-02-12T15:13:22Z
-29.1482,-70.98372,2023-02-12T15:14:22Z
-29.15196,-70.98133,2023-02-12T15:15:22Z
-29.15489,-70.9855,2023-02-12T15:16:22Z
-29.15605,-70.97762,2023-02-12T15:17:22Z
-29.14433,-70.96074,2023-02-12T15:18:22Z
-29.11277,-70.92344,2023-02-12T15:19:22Z
-29.0714,-70.91031,2023-02-12T15:20:22Z
-29.054,-70.90636,2023-02-12T15:21:22Z
-29.03904,-70.9019,2023-02-12T15:22:22Z
-29.02335,-70.90014,2023-02-12T15:23:22Z
-28.95489,-70.89879,2023-02-12T15:24:22Z
-28.92855,-70.86593,2023-02-12T15:25:22Z
-28.86348,-70.82553,2023-02-12T15:26:22Z
-28.85526,-70.8182,2023-02-12T15:27:22Z
-28.83754,-70.82047,2023-02-12T15:28:22Z
-28.82295,-70.81304,2023-02-12T15:29:22Z
-28.80789,-70.80395,2023-02-12T15:30:22Z
-28.79859,-70.79662,2023-02-12T15:31:22Z
-28.788,-70.78356,2023-02-12T15:32:22Z
-28.77202,-70.78156,2023-02-12T15:33:22Z
-28.756,-70.77675,2023-02-12T15:34:22Z
-28.73879,-70.77494,2023-02-12T15:35:22Z
-28.73072,-70.77104,2023-02-12T15:36:22Z
-28.71481,-70.7609,2023-02-12T15:37:22Z
-28.69731,-70.75721,2023-02-12T15:38:22Z
-28.67227,-70.77112,2023-02-12T15:39:22Z
-28.65837,-70.76183,2023-02-12T15:40:22Z
-28.60744,-70.77112,2023-02-12T15:41:22Z
-28.58308,-70.78114,2023-02-12T15:42:22Z
-28.57013,-70.78662,2023-02-12T15:43:22Z
-28.54878,-70.75422,2023-02-12T15:44:22Z
-28.45889,-70.7241,2023-02-12T15:45:22Z
-28.35212,-70.71381,2023-02-12T15:46:22Z
-28.30832,-70.70261,2023-02-12T15:47:22Z
-28.22685,-70.68149,2023-02-12T15:48:22Z
-28.11067,-70.6224,2023-02-12T15:49:22Z
-28.01282,-70.57318,2023-02-12T15:50:22Z
-27.96259,-70.55469,2023-02-12T15:51:22Z
-27.85915,-70.51977,2023-02-12T15:52:22Z
-27.80171,-70.50485,2023-02-12T15:53:22Z
-27.7191,-70.47558,2023-02-12T15:54:22Z
-27.67537,-70.47268,2023-02-12T15:55:22Z
-27.57468,-70.44657,2023-02-12T15:56:22Z
-27.53498,-70.4458,2023-02-12T15:57:22Z
-27.49468,-70.44923,2023-02-12T15:58:22Z
-27.42105,-70.4459,2023-02-12T15:59:22Z
-27.39192,-70.43931,2023-02-12T16:00:22Z
-27.37485,-70.43399,2023-02-12T16:01:22Z
-27.35911,-70.4378,2023-02-12T16:02:22Z
-27.34202,-70.44595,2023-02-12T16:03:22Z
-27.33211,-70.4464,2023-02-12T16:04:22Z
-27.31901,-70.44467,2023-02-12T16:05:22Z
-27.31799,-70.45658,2023-02-12T16:06:22Z
-27.30651,-70.45992,2023-02-12T16:07:22Z
-27.29524,-70.47043,2023-02-12T16:08:22Z
-27.30622,-70.49096,2023-02-12T16:09:22Z
-27.31536,-70.50961,2023-02-12T16:10:22Z
-27.34156,-70.61112,2023-02-12T16:11:22Z
-27.35533,-70.66604,2023-02-12T16:12:22Z
-27.33456,-70.71168,2023-02-12T16:13:22Z
-27.30185,-70.74325,2023-02-12T16:14:22Z
-27.20215,-70.78933,2023-02-12T16:15:22Z
-27.12098,-70.8012,2023-02-12T16:16:22Z
-27.08643,-70.80136,2023-02-12T16:17:22Z
-27.04968,-70.80043,2023-02-12T16:18:22Z
-27.02842,-70.78788,2023-02-12T16:19:22Z
-26.96177,-70.78578,2023-02-12T16:20:22Z
-26.91442,-70.79177,2023-02-12T16:21:22Z
-26.82554,-70.79015,2023-02-12T16:22:22Z
-26.7958,-70.77641,2023-02-12T16:23:22Z
-26.76804,-70.75659,2023-02-12T16:24:22Z
-26.7538,-70.73542,2023-02-12T16:25:22Z
-26.70488,-70.73762,2023-02-12T16:26:22Z
-26.62116,-70.71248,2023-02-12T16:27:22Z
-26.55991,-70.67788,2023-02-12T16:28:22Z
-26.50524,-70.70118,2023-02-12T16:29:22Z
-26.49299,-70.69289,2023-02-12T16:30:22Z
-26.4615,-70.68452,2023-02-12T16:31:22Z
-26.42987,-70.68919,2023-02-12T16:32:22Z
-26.39288,-70.69117,2023-02-12T16:33:22Z
-26.39288,-70.67546,2023-02-12T16:34:22Z
-26.38363,-70.66394,2023-02-12T16:35:22Z
-26.36824,-70.66131,2023-02-12T16:36:22Z
-26.3609,-70.6522,2023-02-12T16:37:22Z
-26.35854,-70.64069,2023-02-12T16:38:22Z
-26.35241,-70.63577,2023-02-12T16:39:22Z
-26.3464,-70.62311,2023-02-12T16:40:22Z
-26.34026,-70.6204,2023-02-12T16:41:22Z
-26.33455,-70.59439,2023-02-12T16:42:22Z
-26.33389,-70.57114,2023-02-12T16:43:22Z
-26.35311,-70.54011,2023-02-12T16:44:22Z
-26.36378,-70.51256,2023-02-12T16:45:22Z
-26.34935,-70.46058,2023-02-12T16:46:22Z
-26.31995,-70.43283,2023-02-12T16:47:22Z
-26.31442,-70.44088,2023-02-12T16:48:22Z
-26.30553,-70.44223,2023-02-12T16:49:22Z
-26.30422,-70.45043,2023-02-12T16:50:22Z
-26.29092,-70.46349,2023-02-12T16:51:22Z
-26.23722,-70.48116,2023-02-12T16:52:22Z
-26.11514,-70.44583,2023-02-12T16:53:22Z
-26.09851,-70.43748,2023-02-12T16:54:22Z
-26.06035,-70.43948,2023-02-12T16:55:22Z
-26.04429,-70.43994,2023-02-12T16:56:22Z
-26.03298,-70.43909,2023-02-12T16:57:22Z
-26.01855,-70.41004,2023-02-12T16:58:22Z
-26.00227,-70.41452,2023-02-12T16:59:22Z
-25.98375,-70.44502,2023-02-12T17:00:22Z
-25.91893,-70.46933,2023-02-12T17:01:22Z
-25.9003,-70.48272,2023-02-12T17:02:22Z
-25.89151,-70.45977,2023-02-12T17:03:22Z
-25.85962,-70.44783,2023-02-12T17:04:22Z
-25.78647,-70.3716,2023-02-12T17:05:22Z
-25.68739,-70.35933,2023-02-12T17:06:22Z
-25.61484,-70.36903,2023-02-12T17:07:22Z
-25.55956,-70.35391,2023-02-12T17:08:22Z
-25.55335,-70.37871,2023-02-12T17:09:22Z
-25.54386,-70.38589,2023-02-12T17:10:22Z
-25.513,-70.40513,2023-02-12T17:11:22Z
-25.50224,-70.4175,2023-02-12T17:12:22Z
-25.49201,-70.42174,2023-02-12T17:13:22Z
-25.48638,-70.42761,2023-02-12T17:14:22Z
-25.48064,-70.43857,2023-02-12T17:15:22Z
-25.47402,-70.43947,2023-02-12T17:16:22Z
-25.46237,-70.44225,2023-02-12T17:17:22Z
-25.43676,-70.45836,2023-02-12T17:18:22Z
-25.41402,-70.47362,2023-02-12T17:19:22Z
-25.40721,-70.47313,2023-02-12T17:20:22Z
-25.39352,-70.4723,2023-02-12T17:21:22Z
-25.38776,-70.46196,2023-02-12T17:22:22Z
-25.37597,-70.44985,2023-02-12T17:23:22Z
