latitude,longitude,timestamp
-34.81331,-58.54118,2023-02-12T12:40:22Z
-34.81202,-58.54065,2023-02-12T12:40:52Z
-34.81147,-58.54126,2023-02-12T12:41:22Z
-34.81063,-58.54192,2023-02-12T12:41:52Z
-34.80903,-58.54319,2023-02-12T12:42:22Z
-34.80633,-58.54295,2023-02-12T12:42:52Z
-34.79695,-58.53243,2023-02-12T12:43:22Z
-34.79238,-58.52859,2023-02-12T12:43:52Z
-34.78735,-58.52593,2023-02-12T12:44:22Z
-34.77358,-58.52432,2023-02-12T12:44:52Z
-34.74752,-58.52244,2023-02-12T12:45:22Z
-34.7351,-58.51955,2023-02-12T12:45:52Z
-34.72245,-58.51414,2023-02-12T12:46:22Z
-34.70533,-58.50587,2023-02-12T12:46:52Z
-34.6968,-58.49466,2023-02-12T12:47:22Z
-34.68803,-58.48632,2023-02-12T12:47:52Z
-34.68828,-58.48487,2023-02-12T12:48:22Z
-34.68772,-58.48359,2023-02-12T12:48:52Z
-34.68717,-58.48411,2023-02-12T12:49:22Z
-34.68327,-58.48712,2023-02-12T12:49:52Z
-34.67485,-58.4991,2023-02-12T12:50:22Z
-34.66305,-58.51324,2023-02-12T12:50:52Z
-34.65493,-58.52693,2023-02-12T12:51:22Z
-34.65312,-58.52839,2023-02-12T12:51:52Z
-34.64669,-58.52906,2023-02-12T12:52:22Z
-34.63937,-58.5293,2023-02-12T12:52:52Z
-34.62939,-58.53012,2023-02-12T12:53:22Z
-34.61653,-58.53061,2023-02-12T12:53:52Z
-34.61357,-58.53061,2023-02-12T12:54:22Z
-34.60024,-58.52398,2023-02-12T12:54:52Z
-34.59732,-58.52231,2023-02-12T12:55:22Z
-34.5884,-58.51869,2023-02-12T12:55:52Z
-34.5768,-58.51492,2023-02-12T12:56:22Z
-34.56899,-58.50956,2023-02-12T12:56:52Z
-34.55176,-58.50678,2023-02-12T12:57:22Z
-34.54937,-58.49971,2023-02-12T12:57:52Z
-34.54784,-58.49564,2023-02-12T12:58:22Z
-34.54742,-58.49331,2023-02-12T12:58:52Z
-34.54661,-58.49311,2023-02-12T12:59:22Z
-34.54512,-58.49473,2023-02-12T12:59:52Z
-34.54249,-58.49613,2023-02-12T13:00:22Z
-34.53756,-58.49997,2023-02-12T13:00:52Z
-34.52055,-58.51239,2023-02-12T13:01:22Z
-34.51415,-58.51948,2023-02-12T13:01:52Z
-34.50991,-58.52551,2023-02-12T13:02:22Z
-34.49786,-58.55093,2023-02-12T13:02:52Z
-34.49452,-58.55627,2023-02-12T13:03:22Z
-34.49023,-58.56696,2023-02-12T13:03:52Z
-34.48865,-58.57515,2023-02-12T13:04:22Z
-34.48727,-58.59011,2023-02-12T13:04:52Z
-34.4867,-58.59802,2023-02-12T13:05:22Z
-34.48619,-58.60598,2023-02-12T13:05:52Z
-34.48314,-58.62842,2023-02-12T13:06:22Z
-34.47193,-58.65955,2023-02-12T13:06:52Z
-34.46988,-58.67956,2023-02-12T13:07:22Z
-34.46663,-58.68412,2023-02-12T13:07:52Z
-34.45711,-58.69069,2023-02-12T13:08:22Z
-34.44769,-58.69774,2023-02-12T13:08:52Z
-34.43518,-58.70815,2023-02-12T13:09:22Z
-34.43282,-58.71288,2023-02-12T13:09:52Z
-34.42988,-58.71362,2023-02-12T13:10:22Z
-34.42729,-58.7147,2023-02-12T13:10:52Z
-34.41564,-58.72328,2023-02-12T13:11:22Z
-34.40397,-58.73225,2023-02-12T13:11:52Z
