latitude,longitude,timestamp
1.41364,103.87196,2023-02-12T12:40:22Z
1.41235,103.87401,2023-02-12T12:40:52Z
1.40942,103.87237,2023-02-12T12:41:22Z
1.40688,103.86827,2023-02-12T12:41:52Z
1.40055,103.86895,2023-02-12T12:42:22Z
1.40035,103.85855,2023-02-12T12:42:52Z
1.39694,103.85342,2023-02-12T12:43:22Z
1.3963,103.84978,2023-02-12T12:43:52Z
1.3963,103.84382,2023-02-12T12:44:22Z
1.39323,103.83187,2023-02-12T12:44:52Z
1.39301,103.82449,2023-02-12T12:45:22Z
1.39557,103.81597,2023-02-12T12:45:52Z
1.40173,103.81286,2023-02-12T12:46:22Z
1.4067,103.8092,2023-02-12T12:46:52Z
1.41424,103.80576,2023-02-12T12:47:22Z
1.41925,103.80061,2023-02-12T12:47:52Z
1.42206,103.79612,2023-02-12T12:48:22Z
1.42589,103.78902,2023-02-12T12:48:52Z
1.4263,103.78141,2023-02-12T12:49:22Z
1.42435,103.77547,2023-02-12T12:49:52Z
1.42072,103.77113,2023-02-12T12:50:22Z
1.4196,103.76992,2023-02-12T12:50:52Z
1.41981,103.77089,2023-02-12T12:51:22Z
1.42376,103.7711,2023-02-12T12:51:52Z
1.43116,103.76906,2023-02-12T12:52:22Z
1.43918,103.76836,2023-02-12T12:52:52Z
1.44341,103.76785,2023-02-12T12:53:22Z
1.44517,103.76686,2023-02-12T12:53:52Z
1.44871,103.76936,2023-02-12T12:54:22Z
1.45646,103.76787,2023-02-12T12:54:52Z
1.45909,103.76752,2023-02-12T12:55:22Z
1.46349,103.7649,2023-02-12T12:55:52Z
1.46501,103.76476,2023-02-12T12:56:22Z
1.46797,103.76845,2023-02-12T12:56:52Z
1.46917,103.77034,2023-02-12T12:57:22Z
1.47138,103.77474,2023-02-12T12:57:52Z
1.47563,103.78055,2023-02-12T12:58:22Z
1.48779,103.78519,2023-02-12T12:58:52Z
1.48981,103.78607,2023-02-12T12:59:22Z
1.49843,103.78189,2023-02-12T12:59:52Z
1.50584,103.77427,2023-02-12T13:00:22Z
1.51262,103.77017,2023-02-12T13:00:52Z
1.51898,103.76537,2023-02-12T13:01:22Z
1.52325,103.76292,2023-02-12T13:01:52Z
1.52548,103.7583,2023-02-12T13:02:22Z
1.53296,103.74603,2023-02-12T13:02:52Z
1.54006,103.74033,2023-02-12T13:03:22Z
1.54554,103.73491,2023-02-12T13:03:52Z
1.54803,103.72748,2023-02-12T13:04:22Z
1.54996,103.71691,2023-02-12T13:04:52Z
1.55077,103.70783,2023-02-12T13:05:22Z
1.55251,103.70357,2023-02-12T13:05:52Z
1.55668,103.69971,2023-02-12T13:06:22Z
1.5625,103.69517,2023-02-12T13:06:52Z
1.56887,103.68538,2023-02-12T13:07:22Z
1.57196,103.67971,2023-02-12T13:07:52Z
1.57328,103.67366,2023-02-12T13:08:22Z
1.57493,103.66455,2023-02-12T13:08:52Z
1.5794,103.65384,2023-02-12T13:09:22Z
1.58307,103.64438,2023-02-12T13:09:52Z
1.58746,103.63756,2023-02-12T13:10:22Z
1.60678,103.6155,2023-02-12T13:10:52Z
1.61461,103.60291,2023-02-12T13:11:22Z
1.62287,103.58429,2023-02-12T13:11:52Z
1.63041,103.57068,2023-02-12T13:12:22Z
1.64842,103.55406,2023-02-12T13:12:52Z
1.6515,103.5483,2023-02-12T13:13:22Z
1.65217,103.54228,2023-02-12T13:13:52Z
1.65161,103.53312,2023-02-12T13:14:22Z
1.65275,103.52283,2023-02-12T13:14:52Z
1.65599,103.51213,2023-02-12T13:15:22Z
1.65982,103.50433,2023-02-12T13:15:52Z
1.67605,103.48529,2023-02-12T13:16:22Z
1.68495,103.47388,2023-02-12T13:16:52Z
1.69651,103.46558,2023-02-12T13:17:22Z
1.72148,103.43285,2023-02-12T13:17:52Z
1.74773,103.39736,2023-02-12T13:18:22Z
1.75311,103.38635,2023-02-12T13:18:52Z
1.75578,103.37539,2023-02-12T13:19:22Z
1.7585,103.36442,2023-02-12T13:19:52Z
1.76454,103.355,2023-02-12T13:20:22Z
1.78764,103.33376,2023-02-12T13:20:52Z
1.7955,103.32296,2023-02-12T13:21:22Z
1.80616,103.31244,2023-02-12T13:21:52Z
1.82414,103.29922,2023-02-12T13:22:22Z
1.83689,103.28877,2023-02-12T13:22:52Z
1.85291,103.27365,2023-02-12T13:23:22Z
1.86165,103.26811,2023-02-12T13:23:52Z
1.87034,103.26394,2023-02-12T13:24:22Z
1.87528,103.25996,2023-02-12T13:24:52Z
1.88547,103.24811,2023-02-12T13:25:22Z
1.89653,103.2304,2023-02-12T13:25:52Z
1.90345,103.21591,2023-02-12T13:26:22Z
1.91373,103.20709,2023-02-12T13:26:52Z
1.92417,103.19287,2023-02-12T13:27:22Z
1.93676,103.18402,2023-02-12T13:27:52Z
1.94158,103.16062,2023-02-12T13:28:22Z
1.95202,103.14327,2023-02-12T13:28:52Z
1.95497,103.13735,2023-02-12T13:29:22Z
1.9648,103.12921,2023-02-12T13:29:52Z
1.96721,103.12548,2023-02-12T13:30:22Z
1.96895,103.11717,2023-02-12T13:30:52Z
1.97187,103.11344,2023-02-12T13:31:22Z
1.98696,103.1006,2023-02-12T13:31:52Z
1.99237,103.09274,2023-02-12T13:32:22Z
1.99482,103.08519,2023-02-12T13:32:52Z
1.99638,103.07104,2023-02-12T13:33:22Z
1.99639,103.06377,2023-02-12T13:33:52Z
1.99423,103.05656,2023-02-12T13:34:22Z
1.99481,103.05255,2023-02-12T13:34:52Z
2.01897,103.03766,2023-02-12T13:35:22Z
2.03299,103.01297,2023-02-12T13:35:52Z
2.04013,103.00615,2023-02-12T13:36:22Z
2.0517,102.99888,2023-02-12T13:36:52Z
2.05757,102.9947,2023-02-12T13:37:22Z
2.07121,102.97561,2023-02-12T13:37:52Z
2.08239,102.96617,2023-02-12T13:38:22Z
2.09238,102.95447,2023-02-12T13:38:52Z
2.0979,102.94826,2023-02-12T13:39:22Z
2.09992,102.94351,2023-02-12T13:39:52Z
2.10019,102.92939,2023-02-12T13:40:22Z
2.09801,102.92262,2023-02-12T13:40:52Z
2.09401,102.91762,2023-02-12T13:41:22Z
2.08496,102.91265,2023-02-12T13:41:52Z
2.07828,102.90728,2023-02-12T13:42:22Z
2.07459,102.90344,2023-02-12T13:42:52Z
2.07239,102.89796,2023-02-12T13:43:22Z
2.07263,102.89028,2023-02-12T13:43:52Z
2.07532,102.88417,2023-02-12T13:44:22Z
2.08397,102.87481,2023-02-12T13:44:52Z
2.09002,102.86903,2023-02-12T13:45:22Z
2.09475,102.86513,2023-02-12T13:45:52Z
2.09996,102.86248,2023-02-12T13:46:22Z
2.10408,102.85881,2023-02-12T13:46:52Z
2.10588,102.85469,2023-02-12T13:47:22Z
2.1058,102.84563,2023-02-12T13:47:52Z
2.10858,102.82515,2023-02-12T13:48:22Z
2.10929,102.80844,2023-02-12T13:48:52Z
2.11101,102.80251,2023-02-12T13:49:22Z
2.11532,102.79696,2023-02-12T13:49:52Z
2.12862,102.78834,2023-02-12T13:50:22Z
2.1338,102.78117,2023-02-12T13:50:52Z
2.1348,102.77196,2023-02-12T13:51:22Z
2.13282,102.75934,2023-02-12T13:51:52Z
2.1305,102.75005,2023-02-12T13:52:22Z
2.13252,102.73444,2023-02-12T13:52:52Z
2.14716,102.70997,2023-02-12T13:53:22Z
2.15275,102.68951,2023-02-12T13:53:52Z
2.15356,102.67037,2023-02-12T13:54:22Z
2.15607,102.66385,2023-02-12T13:54:52Z
2.17014,102.64259,2023-02-12T13:55:22Z
